SMILES,Concentration_mM,IE,LD50_log10_predicted,LD50_predicted,GHS_category
Cc1cc(C)n(CC(=O)N/N=C/c2ccc(Cl)cc2)n1,1,0.93,2.997673101,994.6564441,4
CCCCCCCCCCCCCCCCCN1C(=O)CSc2ccccc21,1,0.93,2.851722769,710.759656,4
c1ccc2sc(CSCc3nc4ccccc4s3)nc2c1,1,0.93,2.737663073,546.5917511,4
Sc1nc(/N=C/c2cccs2)n[nH]1,5,0.93,2.699987761,501.1731093,4
COC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,1,0.929,3.073838639,1185.32826,4
O=C(N/N=C/c1ccc(O)cc1)c1cccnc1,4,0.928,3.266423463,1846.815295,4
O=c1[nH]c2ccccc2nc1/C=C/c1ccc(Cl)cc1,1,0.928,3.034833915,1083.512473,4
N1C2=CC=CC=C2N(CC2CO2)C=1,1,0.928,2.871063011,743.1269494,4
CC(=O)C(/N=N/c1ccccc1)=N\c1ccc(Br)cc1,0.05,0.9273,2.897661993,790.0634902,4
O=C(Cn1c(-c2ccc(Cl)cc2)nc2ccccc21)Nc1ccccc1,1,0.926,2.886131064,769.3625888,4
O=C1CC(c2ccc(O)c(O)c2)c2c(cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)[C@H]3c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)O1,0.27,0.9256,2.808974757,644.1318248,4
CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC,1,0.925,2.759880139,575.2811437,4
Oc1c(CN2CCN(c3ccc(Cl)cc3)CC2)ccc2cccnc12,0.1,0.925,2.745792758,556.9199278,4
C#CCN1C(=O)c2ccccc2S1(=O)=O,1,0.9247,3.156601002,1434.171217,4
O=C1C2C(=CC=CC=2)S(=O)(=O)N1CC#C,1,0.9247,3.156601002,1434.171217,4
Cc1ccc(/N=C/c2c(O)ccc3ccccc23)cc1/N=C/c1c(O)ccc2ccccc12,1,0.9246,3.355257686,2265.988422,5
COc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,1,0.924,2.94840942,887.9927498,4
CCCC[n+]1ccc(C(=O)N/N=C/c2ccc(F)cc2)cc1.[I-],1,0.923,2.861112153,726.2934934,4
COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,1,0.9229,3.390412799,2457.043237,5
Cc1ccc(-c2nc3ccccc3c(=O)n2C)cc1,1,0.9227,2.696684273,497.3753675,4
CCCCCCCCCCCCOC1C(C2CO2)OC2OC(C)(C)OC21,0.1,0.922,3.146459405,1401.068615,4
Cc1cc(Cc2nc3ccccc3[nH]2)n[nH]1,5,0.9219,2.815745588,654.2527977,4
CC(O)(O)c1[nH]/c(=N/N=C\c2ccc(Cl)cc2)sc1-c1ccc(Cl)cc1,0.5,0.9211,2.800245105,631.3135422,4
Oc1ccc(Cn2c(-c3ccc(Br)cc3)nc3ccccc32)c2cccnc12,1,0.921,2.761485515,577.4116134,4
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.05,0.9208,3.656340672,4532.529842,5
C[N+](C)(C)CCCCCCN1C(=O)C(=O)c2ccccc21,1,0.9207,2.846356023,702.030568,4
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,5,0.92,3.834857416,6836.871473,5
Cc1ccc(C2Nc3ccccc3SC2=O)cc1,1,0.92,2.991565505,980.7662318,4
c1ccc2c(c1)[nH]c1cnccc12,1.2,0.92,2.985003165,966.0579195,4
c1ccc2[nH]c(SSc3nc4ccccc4[nH]3)nc2c1,1,0.92,2.947814724,886.7776201,4
COc1ccc(/C=C/c2nc3ccc(C)cc3[nH]c2=O)cc1,0.1,0.92,2.945167131,881.3879951,4
c1ccc2[nH]c(SCCCCCCSc3nc4ccccc4[nH]3)nc2c1,0.5,0.92,2.93205536,855.1757171,4
O=C(C1C=C(C)N(CNC2C=NC(C)=CC=2[N+]([O-])=O)N=1)OCC,1,0.92,2.930204006,851.5379461,4
O=c1[nH]c2ccccc2nc1/C=C/c1ccccc1,0.1,0.92,2.920767163,833.2343457,4
c1ccc2[nH]c(CN(Cc3nc4ccccc4[nH]3)Cc3nc4ccccc4[nH]3)nc2c1,2,0.92,2.903016566,799.8647646,4
N1C2C=CC=CC=2N(CC2C=CC(=CC=2)OC)C=1C1=CC=C(C=C1)OC,0.1,0.92,2.868173761,738.1995243,4
c1csc(-c2nnc(-c3cccs3)s2)c1,0.1,0.92,2.842451823,695.7477694,4
Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O,1,0.9194,2.86305881,729.5562962,4
CC(=O)NCc1ccc(O)c2ncccc12,1,0.919,3.146885187,1402.442898,4
O=c1c2ccccc2[nH]c2ccc([N+](=O)[O-])cc12,5,0.919,3.070227907,1175.514274,4
Nn1c(Cc2cccs2)nnc1Cc1cccs1,0.1,0.919,3.058754219,1144.864844,4
CCCCCCCC[N+](C)(C)CCOCCO.[Br-],1,0.919,2.991984936,981.7138904,4
ClC1C=CC(/C=N/CC2=CC=C(C3C2=CC=CN=3)O)=CC=1,1,0.919,2.84795836,704.6255064,4
O=c1cc(/N=C/c2ccccc2)nc2sc(-c3ccc(Cl)cc3)c(O)c(=O)n12,1,0.918,3.038158327,1091.838306,4
c1ccc2[nH]c(CNCc3nc4ccccc4[nH]3)nc2c1,2,0.918,2.930643685,852.4004789,4
CCCCCC[N+](C)(C)CCNCc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Br-],0.05,0.918,2.655154464,452.0166833,4
Oc1ccc(CC2=NCCO2)c2cccnc12,1,0.9165,2.905784124,804.978208,4
C(=N/c1ccc(Oc2ccc(/N=C/c3ccsc3)cc2)cc1)\c1ccsc1,5,0.916,3.073886052,1185.457672,4
